epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
97;42556;73201;59286;102123;76223;78029;80588;59856;91905;7354;89831;770234;770234;770234
98;429942;72393;58489;101996;78775;77408;81197;60265;93282;75656;89362;765843;765843;765843
99;434321;7399;59193;102742;82493;73717;81251;60189;90473;72508;88957;761423;761423;761423
100;438712;73042;60088;102301;78643;74927;79949;59391;93139;7262;88066;756976;756976;756976
101;443093;72425;57649;102487;77084;76866;80149;59659;91203;69845;88905;7525;7525;7525
102;447476;72412;58927;101993;79917;76408;81176;6004;92452;73046;89442;747997;747997;747997
103;451854;70496;57629;101213;81437;72278;79413;58492;94754;77257;90168;743468;743468;743468
104;456237;71254;57131;101072;76938;76304;79902;59309;92684;75231;89995;738913;738913;738913
105;460624;70966;56682;101408;81871;7394;80789;59406;9508;76246;91179;734332;734332;734332
106;465011;70172;57104;101098;80971;75918;80837;60804;87665;69573;86889;729725;729725;729725
107;469396;71399;5568;100952;82404;75164;80686;60513;9029;72728;89016;725094;725094;725094
108;473775;71485;55577;101469;79911;72915;78676;57973;9766;76343;91621;720439;720439;720439
109;478165;70772;57175;101501;80827;73689;80511;59501;91636;71969;86395;715761;715761;715761
110;482553;71647;57171;101246;81975;75982;81976;59845;91168;69682;89309;711059;711059;711059
111;486935;69489;53886;10038;85096;74645;81725;60242;94342;70252;90928;706335;706335;706335
112;49132;69258;55162;100449;83178;75532;81158;60819;88863;70857;87899;701588;701588;701588
113;495702;70472;55894;100809;82094;75182;81656;60404;8887;73194;87189;69682;69682;69682
114;500086;69904;5458;100509;79214;78825;80796;59794;92912;71881;90336;692031;692031;692031
115;504467;69928;54959;100584;76031;78383;81356;57867;95489;80918;9196;687222;687222;687222
116;508852;71493;56437;101131;83454;73896;81074;6122;89737;70603;8767;682392;682392;682392
117;513231;69732;54798;100986;80397;77039;81079;6061;89671;71449;86649;677543;677543;677543
118;517611;69134;55726;100537;79102;78684;80571;60916;86882;70164;87153;672675;672675;672675
119;522001;6885;54365;100772;81923;77163;81179;60521;86892;67298;85904;667789;667789;667789
120;526388;68742;54113;100377;85294;7537;81647;61439;91287;67309;91839;662885;662885;662885
121;530771;69073;54311;100544;84271;76348;83138;63059;87013;66463;88822;657963;657963;657963
122;535192;67018;52762;99962;82361;76396;8285;62274;87577;6801;86904;653025;653025;653025
123;539573;68468;53517;99992;85865;76585;82389;59813;93267;7019;9111;648071;648071;648071
124;543951;67896;53353;99638;85543;76506;82177;61296;92334;66979;92682;643101;643101;643101
125;548336;6992;53878;100265;82353;76508;80865;60409;91111;67961;90453;638115;638115;638115
126;552717;68326;53602;100488;81103;77966;82662;60577;9519;72587;93599;633115;633115;633115
127;557101;67989;5171;99526;83636;78035;82742;62446;85811;66043;8637;628101;628101;628101
128;561487;68679;53842;100333;84986;76951;84043;62506;86269;65122;85678;623074;623074;623074
129;565873;67312;52679;99392;84543;76447;82384;62152;84693;64807;86494;618034;618034;618034
130;570265;67515;5253;99885;81944;77864;82466;62006;88846;66102;86875;612981;612981;612981
131;574657;67584;52682;9976;82189;74796;80442;60191;88784;66796;87195;607916;607916;607916
132;579042;67649;53157;9967;77711;78022;80673;59996;88206;70814;86614;60284;60284;60284
133;583426;67664;51977;99859;83441;75712;81616;6134;84135;68172;84893;597754;597754;597754
134;587812;67328;52485;99393;82611;75862;82397;61195;88895;6761;87811;592657;592657;592657
135;592199;67016;51573;99385;79386;77316;8126;6045;91644;69808;89776;587551;587551;587551
136;596583;66323;50625;9904;79036;76874;80935;60562;96096;73689;93155;582435;582435;582435
137;600962;65681;49821;98329;8583;75075;81947;61625;89475;67789;9014;577311;577311;577311
138;605342;65362;49722;99111;79864;77147;81307;60878;90166;68979;9121;572179;572179;572179
139;60973;65398;5009;98745;85972;75351;81984;60965;92614;67629;92535;56704;56704;56704
140;614117;65063;50985;9893;83498;73909;80804;60542;91754;70111;92012;561894;561894;561894
141;618492;65022;49485;98933;83743;7423;80572;6074;87878;70044;88677;556742;556742;556742
142;622879;66389;5064;9905;84771;77374;81153;6093;91017;71855;92707;551584;551584;551584
143;627264;64253;49065;98517;86553;7519;81718;60706;92827;7279;92498;546421;546421;546421
144;63165;65673;49641;98543;81854;77691;81374;60418;93791;70712;93557;541253;541253;541253
145;636042;65543;50735;98595;86565;7489;82243;61102;93631;6946;93104;536081;536081;536081
146;640426;65311;49331;98602;81952;76554;8074;60759;9123;70156;92228;530906;530906;530906
147;644805;64423;48504;97728;83787;77145;82878;61846;88564;6729;89701;525728;525728;525728
148;649198;65459;49209;98687;8108;77194;82136;61057;88606;64797;89412;520548;520548;520548
149;653581;64171;47257;9833;8525;76219;8181;61706;90608;6678;90082;515366;515366;515366
150;657967;64021;4906;98543;86718;75705;82956;62092;88273;67333;89539;510184;510184;510184
151;662349;64302;49996;98332;81958;75169;80305;60666;89449;68064;90112;505;505;505
152;666739;65023;49537;98289;83227;77253;81845;61674;90042;65577;8861;499816;499816;499816
153;671124;63643;48224;97684;85639;75448;8355;62658;83346;64863;84316;494634;494634;494634
